Job ID,Job Role,Disability,Skills Required,Work Mode,Salary (INR),Workplace Accessibility,Workplace Location
1,Content Writer,Learning Disability,"Adobe Photoshop, Illustrator",Hybrid,1288085,Wheelchair Access,Kolkata
2,HR Executive,Neurological Disorder,"Excel, Power BI",Remote,823167,Voice-to-Text Software,Ahmedabad
3,Data Analyst,Mental Health Condition,"Networking, Security",Hybrid,1387522,Braille Support,Delhi
4,HR Executive,Speech Impairment,"Writing, Editing",Hybrid,782380,Assistive Technology,Hyderabad
5,Software Engineer,Learning Disability,"Communication, Problem-Solving",On-site,1472721,Assistive Technology,Delhi
6,HR Executive,Hearing Impairment,"Python, SQL",Hybrid,925386,Flexible Hours,Ahmedabad
7,Cybersecurity Analyst,Autism Spectrum Disorder,"Recruitment, Employee Relations",On-site,740130,Flexible Hours,Bangalore
8,Content Writer,Attention Deficit Hyperactivity Disorder,"Excel, Power BI",Hybrid,1249837,Quiet Workspace,Delhi
9,Customer Support,Hearing Impairment,"Adobe Photoshop, Illustrator",Hybrid,1309500,Wheelchair Access,Lucknow
10,Cybersecurity Analyst,Speech Impairment,"Adobe Photoshop, Illustrator",Remote,704404,Flexible Hours,Ahmedabad
11,Project Manager,Speech Impairment,"Teaching, Curriculum Planning",Remote,476714,Braille Support,Kolkata
12,Software Engineer,Cognitive Impairment,"Excel, Power BI",Remote,1306485,Assistive Technology,Delhi
13,Graphic Designer,Cognitive Impairment,"Networking, Security",Hybrid,1131146,Quiet Workspace,Kolkata
14,Teacher,Physical Disability,"Excel, Power BI",Hybrid,1294163,Braille Support,Pune
15,Cybersecurity Analyst,Visual Impairment,"Recruitment, Employee Relations",On-site,1497111,Remote Work Possible,Bangalore
16,Cybersecurity Analyst,Motor Coordination Disorder,"Excel, Power BI",On-site,361029,Sign Language Interpreter,Pune
17,Graphic Designer,Mental Health Condition,"SEO, Social Media Marketing",Remote,810274,Remote Work Possible,Chennai
18,Software Engineer,Motor Coordination Disorder,"Excel, Power BI",On-site,467277,Voice-to-Text Software,Chennai
19,Data Analyst,Motor Coordination Disorder,"Communication, Problem-Solving",Hybrid,1344584,Assistive Technology,Pune
20,Teacher,Motor Coordination Disorder,"Excel, Power BI",Remote,484968,Wheelchair Access,Delhi
21,Customer Support,Chronic Illness,"Writing, Editing",On-site,1078688,Remote Work Possible,Kolkata
22,Project Manager,Chronic Illness,"Recruitment, Employee Relations",Remote,1199532,Sign Language Interpreter,Chennai
23,Teacher,Learning Disability,"Recruitment, Employee Relations",Hybrid,1185976,Voice-to-Text Software,Jaipur
24,Project Manager,Autism Spectrum Disorder,"SEO, Social Media Marketing",On-site,888374,Sign Language Interpreter,Kolkata
25,Marketing Manager,Autism Spectrum Disorder,"Communication, Problem-Solving",Remote,1433584,Braille Support,Pune
26,Graphic Designer,Cognitive Impairment,"Networking, Security",On-site,1426433,Wheelchair Access,Pune
27,Teacher,Visual Impairment,"Agile, Scrum",On-site,1065551,Assistive Technology,Delhi
28,Software Engineer,Learning Disability,"Excel, Power BI",On-site,502038,Assistive Technology,Chennai
29,Graphic Designer,Chronic Pain Condition,"SEO, Social Media Marketing",Hybrid,1014241,Assistive Technology,Delhi
30,Software Engineer,Hearing Impairment,"Teaching, Curriculum Planning",Hybrid,1287501,Assistive Technology,Kolkata
31,Project Manager,Attention Deficit Hyperactivity Disorder,"SEO, Social Media Marketing",Hybrid,789375,Wheelchair Access,Hyderabad
32,Data Analyst,Physical Disability,"Networking, Security",On-site,984724,Flexible Hours,Kolkata
33,Graphic Designer,Attention Deficit Hyperactivity Disorder,"Excel, Power BI",On-site,475863,Remote Work Possible,Chennai
34,Graphic Designer,Visual Impairment,"Communication, Problem-Solving",Remote,1191605,Flexible Hours,Jaipur
35,Software Engineer,Chronic Pain Condition,"SEO, Social Media Marketing",Hybrid,695945,Assistive Technology,Jaipur
36,Customer Support,Motor Coordination Disorder,"Python, SQL",Remote,525483,Assistive Technology,Bangalore
37,Marketing Manager,Neurological Disorder,"Agile, Scrum",On-site,744039,Assistive Technology,Kolkata
38,Customer Support,Attention Deficit Hyperactivity Disorder,"Networking, Security",Remote,1369699,Wheelchair Access,Ahmedabad
39,Customer Support,Visual Impairment,"Recruitment, Employee Relations",Remote,1185358,Wheelchair Access,Bangalore
40,Cybersecurity Analyst,Learning Disability,"Networking, Security",Remote,1129490,Flexible Hours,Bangalore
41,Data Analyst,Chronic Illness,"SEO, Social Media Marketing",Remote,1235053,Remote Work Possible,Bangalore
42,Customer Support,Learning Disability,"Excel, Power BI",Remote,1375486,Wheelchair Access,Pune
43,Customer Support,Speech Impairment,"Agile, Scrum",On-site,1132644,Flexible Hours,Ahmedabad
44,Project Manager,Mental Health Condition,"SEO, Social Media Marketing",On-site,365350,Flexible Hours,Hyderabad
45,Customer Support,Attention Deficit Hyperactivity Disorder,"Python, SQL",Hybrid,1279639,Quiet Workspace,Delhi
46,Marketing Manager,Mental Health Condition,"Agile, Scrum",Remote,1320270,Remote Work Possible,Hyderabad
47,Graphic Designer,Speech Impairment,"Agile, Scrum",Hybrid,540294,Quiet Workspace,Jaipur
48,Cybersecurity Analyst,Chronic Illness,"Agile, Scrum",On-site,841441,Assistive Technology,Pune
49,Data Analyst,Learning Disability,"Agile, Scrum",Hybrid,939721,Wheelchair Access,Pune
50,Customer Support,Autism Spectrum Disorder,"Networking, Security",Hybrid,538468,Voice-to-Text Software,Lucknow
51,Cybersecurity Analyst,Speech Impairment,"Agile, Scrum",On-site,1052136,Braille Support,Ahmedabad
52,Teacher,Autism Spectrum Disorder,"Agile, Scrum",Remote,978854,Quiet Workspace,Kolkata
53,Graphic Designer,Chronic Illness,"Recruitment, Employee Relations",Hybrid,1038379,Voice-to-Text Software,Ahmedabad
54,Data Analyst,Motor Coordination Disorder,"Communication, Problem-Solving",Remote,1271390,Quiet Workspace,Chennai
55,Graphic Designer,Speech Impairment,"Recruitment, Employee Relations",Hybrid,385068,Flexible Hours,Lucknow
56,Data Analyst,Speech Impairment,"Recruitment, Employee Relations",On-site,914458,Sign Language Interpreter,Mumbai
57,Marketing Manager,Physical Disability,"Teaching, Curriculum Planning",Remote,720212,Remote Work Possible,Delhi
58,Data Analyst,Mental Health Condition,"Agile, Scrum",Hybrid,760679,Wheelchair Access,Bangalore
59,Marketing Manager,Chronic Pain Condition,"Networking, Security",On-site,565635,Assistive Technology,Jaipur
60,Data Analyst,Visual Impairment,"Adobe Photoshop, Illustrator",On-site,554592,Sign Language Interpreter,Lucknow
61,Cybersecurity Analyst,Attention Deficit Hyperactivity Disorder,"Recruitment, Employee Relations",Hybrid,569244,Remote Work Possible,Bangalore
62,Software Engineer,Learning Disability,"Python, SQL",On-site,1194609,Assistive Technology,Jaipur
63,Content Writer,Motor Coordination Disorder,"Adobe Photoshop, Illustrator",On-site,631960,Wheelchair Access,Chennai
64,Cybersecurity Analyst,Speech Impairment,"Communication, Problem-Solving",Hybrid,835713,Remote Work Possible,Ahmedabad
65,Cybersecurity Analyst,Mental Health Condition,"Writing, Editing",On-site,808149,Quiet Workspace,Chennai
66,Project Manager,Attention Deficit Hyperactivity Disorder,"Teaching, Curriculum Planning",Hybrid,413283,Wheelchair Access,Ahmedabad
67,Customer Support,Cognitive Impairment,"SEO, Social Media Marketing",On-site,973853,Assistive Technology,Lucknow
68,HR Executive,Hearing Impairment,"Agile, Scrum",Remote,1270905,Sign Language Interpreter,Pune
69,Data Analyst,Chronic Illness,"Communication, Problem-Solving",Hybrid,344083,Sign Language Interpreter,Bangalore
70,Graphic Designer,Chronic Illness,"Agile, Scrum",Remote,405912,Voice-to-Text Software,Lucknow
71,Data Analyst,Attention Deficit Hyperactivity Disorder,"Writing, Editing",On-site,1413864,Braille Support,Jaipur
72,Customer Support,Physical Disability,"Excel, Power BI",Hybrid,1044158,Remote Work Possible,Ahmedabad
73,Teacher,Mental Health Condition,"Networking, Security",Remote,1260547,Sign Language Interpreter,Chennai
74,Graphic Designer,Physical Disability,"Excel, Power BI",On-site,393812,Wheelchair Access,Jaipur
75,Customer Support,Chronic Illness,"Networking, Security",Hybrid,1208976,Remote Work Possible,Mumbai
76,Cybersecurity Analyst,Speech Impairment,"Networking, Security",Hybrid,1250798,Remote Work Possible,Jaipur
77,Content Writer,Physical Disability,"SEO, Social Media Marketing",Remote,1371211,Quiet Workspace,Kolkata
78,Data Analyst,Learning Disability,"Excel, Power BI",Hybrid,325039,Remote Work Possible,Kolkata
79,Content Writer,Speech Impairment,"Excel, Power BI",On-site,541096,Quiet Workspace,Bangalore
80,Project Manager,Speech Impairment,"Excel, Power BI",Hybrid,1062179,Voice-to-Text Software,Kolkata
81,Project Manager,Attention Deficit Hyperactivity Disorder,"SEO, Social Media Marketing",Remote,726630,Braille Support,Lucknow
82,Teacher,Motor Coordination Disorder,"Python, SQL",Hybrid,484639,Voice-to-Text Software,Chennai
83,Marketing Manager,Learning Disability,"Writing, Editing",Remote,1196453,Assistive Technology,Hyderabad
84,Customer Support,Motor Coordination Disorder,"Agile, Scrum",Remote,588768,Voice-to-Text Software,Lucknow
85,Cybersecurity Analyst,Neurological Disorder,"Recruitment, Employee Relations",Remote,374055,Assistive Technology,Lucknow
86,Customer Support,Mental Health Condition,"Teaching, Curriculum Planning",On-site,515937,Sign Language Interpreter,Bangalore
87,Marketing Manager,Learning Disability,"Agile, Scrum",Hybrid,419467,Voice-to-Text Software,Pune
88,Cybersecurity Analyst,Hearing Impairment,"Recruitment, Employee Relations",Remote,1026874,Flexible Hours,Chennai
89,Cybersecurity Analyst,Mental Health Condition,"Python, SQL",On-site,1273289,Wheelchair Access,Jaipur
90,Cybersecurity Analyst,Attention Deficit Hyperactivity Disorder,"Python, SQL",On-site,1059527,Flexible Hours,Hyderabad
91,Customer Support,Motor Coordination Disorder,"Writing, Editing",Remote,1460404,Voice-to-Text Software,Kolkata
92,Graphic Designer,Speech Impairment,"Writing, Editing",Hybrid,352429,Flexible Hours,Delhi
93,Content Writer,Motor Coordination Disorder,"Excel, Power BI",Remote,791658,Remote Work Possible,Kolkata
94,Data Analyst,Chronic Illness,"SEO, Social Media Marketing",On-site,967886,Sign Language Interpreter,Delhi
95,Project Manager,Chronic Pain Condition,"Writing, Editing",Remote,522775,Remote Work Possible,Hyderabad
96,Project Manager,Cognitive Impairment,"Excel, Power BI",Remote,384346,Assistive Technology,Bangalore
97,HR Executive,Chronic Pain Condition,"Communication, Problem-Solving",Remote,1278979,Flexible Hours,Bangalore
98,Software Engineer,Motor Coordination Disorder,"Agile, Scrum",Remote,1490643,Voice-to-Text Software,Kolkata
99,Cybersecurity Analyst,Cognitive Impairment,"SEO, Social Media Marketing",Remote,1237424,Quiet Workspace,Chennai
100,Content Writer,Hearing Impairment,"SEO, Social Media Marketing",Remote,871744,Quiet Workspace,Kolkata
101,Content Writer,Physical Disability,"Writing, Editing",Remote,1063671,Braille Support,Lucknow
102,Content Writer,Speech Impairment,"Recruitment, Employee Relations",Hybrid,345940,Sign Language Interpreter,Bangalore
103,Project Manager,Attention Deficit Hyperactivity Disorder,"Networking, Security",Remote,1076621,Assistive Technology,Bangalore
104,Cybersecurity Analyst,Autism Spectrum Disorder,"Writing, Editing",On-site,866944,Assistive Technology,Kolkata
105,Software Engineer,Learning Disability,"Adobe Photoshop, Illustrator",Hybrid,780584,Wheelchair Access,Pune
106,Project Manager,Hearing Impairment,"Recruitment, Employee Relations",Remote,345251,Sign Language Interpreter,Kolkata
107,Software Engineer,Attention Deficit Hyperactivity Disorder,"Networking, Security",On-site,1482620,Assistive Technology,Delhi
108,Content Writer,Mental Health Condition,"SEO, Social Media Marketing",Hybrid,348508,Remote Work Possible,Ahmedabad
109,Project Manager,Speech Impairment,"Communication, Problem-Solving",Hybrid,1262476,Assistive Technology,Hyderabad
110,Content Writer,Autism Spectrum Disorder,"SEO, Social Media Marketing",On-site,536605,Remote Work Possible,Jaipur
111,Cybersecurity Analyst,Neurological Disorder,"Writing, Editing",Remote,1166843,Remote Work Possible,Kolkata
112,Cybersecurity Analyst,Neurological Disorder,"Recruitment, Employee Relations",Remote,1254952,Sign Language Interpreter,Lucknow
113,Marketing Manager,Learning Disability,"Adobe Photoshop, Illustrator",On-site,1324243,Quiet Workspace,Hyderabad
114,Data Analyst,Mental Health Condition,"Communication, Problem-Solving",Hybrid,832953,Voice-to-Text Software,Hyderabad
115,Marketing Manager,Physical Disability,"Adobe Photoshop, Illustrator",Remote,358529,Braille Support,Hyderabad
116,Graphic Designer,Physical Disability,"SEO, Social Media Marketing",Remote,1189450,Quiet Workspace,Ahmedabad
117,Project Manager,Hearing Impairment,"Communication, Problem-Solving",Hybrid,1358666,Braille Support,Mumbai
118,Project Manager,Chronic Pain Condition,"Recruitment, Employee Relations",Remote,848380,Quiet Workspace,Lucknow
119,Data Analyst,Motor Coordination Disorder,"Python, SQL",On-site,1090496,Wheelchair Access,Kolkata
120,Software Engineer,Speech Impairment,"Excel, Power BI",Hybrid,532977,Quiet Workspace,Jaipur
121,Content Writer,Visual Impairment,"Writing, Editing",Remote,1390758,Voice-to-Text Software,Lucknow
122,HR Executive,Autism Spectrum Disorder,"Networking, Security",Remote,1038274,Wheelchair Access,Mumbai
123,Project Manager,Neurological Disorder,"Communication, Problem-Solving",Hybrid,455262,Voice-to-Text Software,Lucknow
124,Software Engineer,Chronic Pain Condition,"Agile, Scrum",On-site,981051,Wheelchair Access,Jaipur
125,Customer Support,Motor Coordination Disorder,"Writing, Editing",On-site,1276389,Assistive Technology,Bangalore
126,Marketing Manager,Chronic Illness,"Python, SQL",Remote,1010945,Remote Work Possible,Pune
127,HR Executive,Mental Health Condition,"Agile, Scrum",Hybrid,891810,Flexible Hours,Ahmedabad
128,Content Writer,Visual Impairment,"Python, SQL",On-site,808350,Quiet Workspace,Pune
129,Software Engineer,Neurological Disorder,"Communication, Problem-Solving",Remote,726291,Braille Support,Kolkata
130,Software Engineer,Speech Impairment,"Agile, Scrum",On-site,608167,Flexible Hours,Kolkata
131,HR Executive,Cognitive Impairment,"Teaching, Curriculum Planning",On-site,1087051,Voice-to-Text Software,Mumbai
132,Data Analyst,Motor Coordination Disorder,"Adobe Photoshop, Illustrator",Hybrid,1176003,Wheelchair Access,Kolkata
133,HR Executive,Mental Health Condition,"SEO, Social Media Marketing",Remote,676569,Voice-to-Text Software,Bangalore
134,HR Executive,Mental Health Condition,"Python, SQL",Hybrid,1025643,Braille Support,Ahmedabad
135,Software Engineer,Cognitive Impairment,"Adobe Photoshop, Illustrator",On-site,592781,Voice-to-Text Software,Ahmedabad
136,Content Writer,Hearing Impairment,"Excel, Power BI",Remote,1239158,Quiet Workspace,Jaipur
137,Content Writer,Mental Health Condition,"Agile, Scrum",Hybrid,1210614,Assistive Technology,Chennai
138,Customer Support,Cognitive Impairment,"Networking, Security",Hybrid,330025,Quiet Workspace,Hyderabad
139,Teacher,Autism Spectrum Disorder,"Communication, Problem-Solving",Remote,332106,Wheelchair Access,Pune
140,HR Executive,Learning Disability,"Teaching, Curriculum Planning",Remote,361024,Braille Support,Bangalore
141,Teacher,Chronic Illness,"Writing, Editing",Remote,1390220,Voice-to-Text Software,Hyderabad
142,Graphic Designer,Chronic Pain Condition,"Networking, Security",Remote,1442178,Voice-to-Text Software,Bangalore
143,Project Manager,Visual Impairment,"Recruitment, Employee Relations",On-site,1438157,Assistive Technology,Mumbai
144,Marketing Manager,Learning Disability,"Adobe Photoshop, Illustrator",On-site,1237044,Remote Work Possible,Ahmedabad
145,Software Engineer,Learning Disability,"Adobe Photoshop, Illustrator",Hybrid,1473058,Wheelchair Access,Ahmedabad
146,Project Manager,Learning Disability,"SEO, Social Media Marketing",Remote,557953,Voice-to-Text Software,Delhi
147,Graphic Designer,Visual Impairment,"Adobe Photoshop, Illustrator",On-site,1291410,Flexible Hours,Lucknow
148,Customer Support,Motor Coordination Disorder,"Adobe Photoshop, Illustrator",Hybrid,1372292,Braille Support,Lucknow
149,Content Writer,Autism Spectrum Disorder,"Writing, Editing",Remote,976050,Assistive Technology,Mumbai
150,Teacher,Speech Impairment,"Writing, Editing",Remote,972466,Quiet Workspace,Kolkata
151,Project Manager,Cognitive Impairment,"Agile, Scrum",Hybrid,1315300,Remote Work Possible,Kolkata
152,Customer Support,Motor Coordination Disorder,"Python, SQL",Remote,582852,Wheelchair Access,Kolkata
153,Customer Support,Learning Disability,"Python, SQL",On-site,319441,Sign Language Interpreter,Ahmedabad
